GFDL_varname,CMOR_varname,standard_name,long_name,modeling_realm,cmor_units
streng,streng,compressive_strength_of_sea_ice,Compressive Sea Ice Strength,ocean & ice,N m-1
psl,pslClim,air_pressure_at_sea_level,Sea Level Pressure,atmos,Pa
expp,expp,sinking_mole_flux_of_particulate_organic_phosphorus_in_sea_water,Sinking Particulate Organic Phosphorus Flux,ocean_biochem,mol m-2 s-1
fddtdin,fddtdin,tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen,Rate of Change of Net Dissolved Inorganic Nitrogen,ocean_biochem,mol m-2 s-1
LH,hfls,surface_downward_latent_heat_flux,Surface Downward Latent Heat Flux,ocean,W m-2
snd,snd,surface_snow_thickness,Snow Depth,ocean & ice,m
prsn,prsn,snowfall_flux,Surface Snowfall Rate into the Sea Ice Portion of the Grid Cell,ocean & ice,kg m-2 s-1
conv_cld_base,ccb,air_pressure_at_convective_cloud_base,Air Pressure at Convective Cloud Base,atmos,Pa
phypico,phypico,mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water,"Mole Concentration of Picophytoplankton expressed as Carbon in Sea Water
",ocean_biochem,mol m-3
phyn,phyn,mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water,Phytoplankton Nitrogen Concentration at Surface,ocean_biochem,mol m-3
hblt_max,omlmax,ocean_mixed_layer_thickness_defined_by_mixing_scheme,Monthly Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,ocean,m
rh_cm,rh,relative_humidity,Relative Humidity,atmos,%
emibcv2,emibc,tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_emission,Emission Rate of Black Carbon Aerosol Mass,aerosol,kg m-2 s-1
fl_ccrain,prcprof,convective_rainfall_flux,Convective Rainfall Flux,atmos,kg m-2 s-1
zh,zhalf,height_above_reference_ellipsoid,Altitude of Model Half-Levels,atmos,m
evap_hflux,hfevapds,temperature_flux_due_to_evaporation_expressed_as_heat_flux_out_of_sea_water,Temperature Flux due to Evaporation Expressed as Heat Flux Out of Sea Water,ocean,W m-2
co3,co3,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,Mole Concentration of Carbonate expressed as Carbon in Sea Water,ocean_biochem,mol m-3
mrlsl,mrlslClim,moisture_content_of_soil_layer,Water Content of Soil Layer,land,kg m-2
sea_level_sq,zossq,square_of_sea_surface_height_above_geoid,Square of Sea Surface Height Above Geoid,ocean,m2
treeFrac,treeFrac,area_fraction,Tree Cover Fraction,land,%
wetso4,wetso4,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of SO4,aerosol,kg m-2 s-1
tot_no3_col,loadno3,atmosphere_mass_content_of_nitrate_dry_aerosol,Load of NO3,atmos,kg m-2
fsfe,fsfe,tendency_of_ocean_mole_content_of_iron_due_to_deposition_and_runoff_and_sediment_dissolution,Surface Downward Net Flux of Iron,ocean_biochem,mol m-2 s-1
wind_ref,sfcWind,wind_speed,"Daily-Mean Near-Surface Wind Speed
",atmos,m s-1
chldiat,chldiat,mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water,Diatom Chlorophyll Mass Concentration,ocean_biochem,kg m-3
shrubFrac,shrubFrac,area_fraction,Shrub Fraction,land,%
