GFDL_varname,CMOR_varname,standard_name,long_name,mipTable,cmor_units
vtendnogw,vtendnogw,tendency_of_northward_wind_due_to_nonorographic_gravity_wave_drag,v-tendency nonorographic gravity wave drag,EmonZ,m s-2,
utendnogw27,utendnogw27,tendency_of_eastward_wind_due_to_nonorographic_gravity_wave_drag,u-tendency nonorographic gravity wave drag,E1hr,m s-2,
vtendnogw27,vtendnogw27,tendency_of_northward_wind_due_to_nonorographic_gravity_wave_drag,v-tendency nonorographic gravity wave drag,E1hr,m s-2,
clayfrac,clayfrac,volume_fraction_of_clay_in_soil,Clay Fraction,Efx,1,
siltfrac,siltfrac,volume_fraction_of_silt_in_soil,Silt Fraction,Efx,1,
sandfrac,sandfrac,volume_fraction_of_sand_in_soil,Sand Fraction,Efx,1,
hus,hus,specific_humidity,Specific Humidity,Emon,1,
areacellr,areacellr,cell_area,Grid-Cell Area for River Model Variables,fx,m2,
siconc,siconc,sea_ice_area_fraction,Sea Ice Area Fraction (Ocean Grid),SIday,%,
siconc,siconc,sea_ice_area_fraction,Sea Ice Area Fraction (Ocean Grid),SImon,%,
masscello,masscello,sea_water_mass_per_unit_area,Sea Water Mass Per Unit Area,Odec,kg m-2,
cSoil,cSoil,soil_mass_content_of_carbon,Carbon Mass in Soil Pool,Emon,kg m-2,
cLand,cLand,mass_content_of_carbon_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,Total Carbon in All Terrestrial Carbon Pools,Emon,kg m-2,
netAtmosLandCO2Flux,netAtmosLandCO2Flux,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,Net flux of CO2 between atmosphere and land (positive into land) as a result of all processes.,Emon,kg m-2 s-1,
c14Litter,c14Litter,litter_mass_content_of_14C,Mass of 14C in Litter Pool,Emon,kg m-2,
c14Soil,c14Soil,soil_mass_content_of_14C,Mass of 14C in Soil Pool,Emon,kg m-2,
c14Land,c14Land,mass_content_of_14C_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,Mass of 14C in all terrestrial carbon pools,Emon,kg m-2,
c13Veg,c13Veg,vegetation_mass_content_of_13C,Mass of 13C in Vegetation,Emon,kg m-2,
c13Litter,c13Litter,litter_mass_content_of_13C,Mass of 13C in Litter Pool,Emon,kg m-2,
c13Land,c13Land,mass_content_of_13C_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,Mass of 13C in all terrestrial carbon pools,Emon,kg m-2,
gppc14,gppc14,gross_primary_productivity_of_biomass_expressed_as_14C,Mass Flux of 14C out of Atmosphere due to Gross Primary Production on Land,Emon,kg m-2 s-1,
netAtmosLandC14Flux,netAtmosLandC14Flux,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_14C_due_to_all_land_processes,Net Mass Flux of 14C between atmosphere and land (positive into land) as a result of all processes.,Emon,kg m-2 s-1,
gppc13,gppc13,gross_primary_productivity_of_biomass_expressed_as_13C,Mass Flux of 13C out of Atmosphere due to Gross Primary Production on Land,Emon,kg m-2 s-1,
rhc13,rhc13,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_13C_due_to_heterotrophic_respiration,Mass Flux of 13C into Atmosphere due to Heterotrophic Respiration on Land,Emon,kg m-2 s-1,
dissi14c,dissi14c,mole_concentration_of_dissolved_inorganic_14C_in_sea_water,Concentration of DI14C,Emon,mol m-3,
fg14co2,fg14co2,surface_downward_mass_flux_of_14C_dioxide_abiotic_analogue_expressed_as_carbon,Total air-sea flux of 14CO2,Emon,kg m-2 s-1,
gpp,gpp,gross_primary_productivity_of_biomass_expressed_as_carbon,Carbon Mass Flux out of Atmosphere due to Gross Primary Production on Land,E3hr,kg m-2 s-1,
ra,ra,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,Carbon Mass Flux into Atmosphere due to Autotrophic (Plant) Respiration on Land,E3hr,kg m-2 s-1,
rh,rh,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration on Land,E3hr,kg m-2 s-1,
lai,lai,leaf_area_index,Leaf Area Index,Eday,1,
mrsol,mrsol,mass_content_of_water_in_soil_layer,Total water content of soil layer,Eday,kg m-2,
mrsll,mrsll,liquid_water_content_of_soil_layer,Liquid water content of soil layer,Eday,kg m-2,
mrsfl,mrsfl,frozen_water_content_of_soil_layer,Frozen water content of soil layer,Eday,kg m-2,
mrlso,mrlso,liquid_water_content_of_soil_layer,Soil Liquid Water Content,Emon,kg m-2,
mrsol,mrsol,mass_content_of_water_in_soil_layer,Total water content of soil layer,Emon,kg m-2,
mrsfl,mrsfl,frozen_water_content_of_soil_layer,Frozen water content of soil layer,Emon,kg m-2,
fCLandToOcean,fCLandToOcean,mass_flux_of_carbon_into_sea_water_from_rivers,Lateral transfer of carbon out of gridcell that eventually goes into ocean,Emon,kg m-2 s-1,
fFireNat,fFireNat,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_fires,Carbon Mass Flux into Atmosphere due to CO2 Emission from natural Fire,Emon,kg m-2 s-1,
fProductDecomp,fProductDecomp,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_forestry_and_agricultural_products,decomposition out of product pools to CO2 in atmos,Emon,kg m-2 s-1,
fAnthDisturb,fAnthDisturb,tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,"Carbon Mass Flux from Vegetation, Litter or Soil Pools into the Atmosphere due to Any Human Activity",Emon,kg m-2 s-1,
fDeforestToProduct,fDeforestToProduct,carbon_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,Deforested biomass that goes into product pool as a result of anthropogenic land use change,Emon,kg m-2 s-1,
fHarvestToProduct,fHarvestToProduct,mass_flux_of_carbon_into_forestry_and_agricultural_products_due_to_crop_harvesting,Harvested biomass that goes into product pool,Emon,kg m-2 s-1,
nSoil,nSoil,soil_mass_content_of_nitrogen,Nitrogen Mass in Soil Pool,Emon,kg m-2,
nProduct,nProduct,nitrogen_mass_content_of_forestry_and_agricultural_products,Nitrogen Mass in Products of Land Use Change,Emon,kg m-2,
nMineral,nMineral,soil_mass_content_of_inorganic_nitrogen_expressed_as_nitrogen,Mineral nitrogen in the soil,Emon,kg m-2,
fNloss,fNloss,surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_out_of_vegetation_and_litter_and_soil,"Total N lost (including NHx, NOx, N2O, N2 and leaching)",Emon,kg m-2 s-1,
fNdep,fNdep,minus_tendency_of_atmosphere_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_deposition,Dry and Wet Deposition of Reactive Nitrogen onto Land,Emon,kg m-2 s-1,
fBNF,fBNF,tendency_of_soil_and_vegetation_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_fixation,biological nitrogen fixation,Emon,kg m-2 s-1,
fNup,fNup,tendency_of_vegetation_mass_content_of_nitrogen_compounds_expressed_as_nitrogen_due_to_fixation,"total plant nitrogen uptake (sum of ammonium and nitrate), irrespective of the source of nitrogen",Emon,kg m-2 s-1,
fNnetmin,fNnetmin,mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_out_of_litter_and_soil_due_to_immobilisation_and_remineralization,Net nitrogen release from soil and litter as the outcome of nitrogen immobilisation and gross mineralisation,Emon,kg m-2 s-1,
fNVegLitter,fNVegLitter,nitrogen_mass_flux_into_litter_from_vegetation,Total Nitrogen Mass Flux from Vegetation to Litter,Emon,kg m-2 s-1,
fNLandToOcean,fNLandToOcean,mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_into_sea_from_rivers,Lateral transfer of nitrogen out of gridcell that eventually goes into ocean,Emon,kg m-2 s-1,
fNLitterSoil,fNLitterSoil,nitrogen_mass_flux_into_soil_from_litter,Total Nitrogen Mass Flux from Litter to Soil,Emon,kg m-2 s-1,
fNVegSoil,fNVegSoil,nitrogen_mass_flux_into_soil_from_vegetation_excluding_litter,Total Nitrogen Mass Flux from Vegetation Directly to Soil,Emon,kg m-2 s-1,
fNProduct,fNProduct,nitrogen_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,Deforested or harvested biomass as a result of anthropogenic land use or change,Emon,kg m-2 s-1,
grassFracC3,grassFracC3,area_fraction,C3 Grass Area Percentage,Emon,%,
grassFracC4,grassFracC4,area_fraction,C4 Grass Area Percentage,Emon,%,
cropFracC3,cropFracC3,area_fraction,Percentage Cover by C3 Crops,Emon,%,
cStem,cStem,stem_mass_content_of_carbon,Carbon Mass in Stem,Emon,kg m-2,
cOther,cOther,miscellaneous_living_matter_mass_content_of_carbon,"Carbon Mass in Vegetation Components other than Leaves, Stems and Roots",Emon,kg m-2,
cLitterCwd,cLitterCwd,wood_debris_mass_content_of_carbon,Carbon Mass in Coarse Woody Debris,Emon,kg m-2,
cLitterSurf,cLitterSurf,surface_litter_mass_content_of_carbon,Carbon Mass in Above-Ground Litter,Emon,kg m-2,
cLitterSubSurf,cLitterSubSurf,subsurface_litter_mass_content_of_carbon,Carbon Mass in Below-Ground Litter,Emon,kg m-2,
fVegFire,fVegFire,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_vegetation_in_fires,Carbon Mass Flux from Vegetation into Atmosphere due to CO2 Emission from all Fire,Emon,kg m-2 s-1,
fLitterFire,fLitterFire,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_litter_in_fires,"Carbon Mass Flux from Litter, CWD or any non-living pool into Atmosphere due to CO2 Emission from all Fire",Emon,kg m-2 s-1,
fFireAll,fFireAll,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires,"Carbon Mass Flux into Atmosphere due to CO2 emissions from Fire resulting from all sources including natural, anthropogenic and land use change.",Emon,kg m-2 s-1,
fVegLitterSenescence,fVegLitterSenescence,mass_flux_of_carbon_into_litter_from_vegetation_due_to_senescence,"Total Carbon Mass Flux from Vegetation to Litter as a Result of Leaf, Branch, and Root Senescence",Emon,kg m-2 s-1,
fVegLitterMortality,fVegLitterMortality,mass_flux_of_carbon_into_litter_from_vegetation_due_to_mortality,Total Carbon Mass Flux from Vegetation to Litter as a Result of Mortality,Emon,kg m-2 s-1,
raRoot,raRoot,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_roots,Total Respiration from Roots,Emon,kg m-2 s-1,
raStem,raStem,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_stems,Total Respiration from Stem,Emon,kg m-2 s-1,
raLeaf,raLeaf,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_leaves,Total respiration from leaves,Emon,kg m-2 s-1,
rhLitter,rhLitter,surface_upward_mass_flux_of_carbon_due_to_heterotrophic_respiration_in_litter,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration from Litter on Land,Emon,kg m-2 s-1,
rhSoil,rhSoil,surface_upward_mass_flux_of_carbon_due_to_heterotrophic_respiration_in_soil,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration from Soil on Land,Emon,kg m-2 s-1,
fHarvestToAtmos,fHarvestToAtmos,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_crop_harvesting,Harvested biomass that goes straight into atmosphere,Emon,kg m-2 s-1,
fDeforestToAtmos,fDeforestToAtmos,surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,Deforested biomass that goes into atmosphere as a result of anthropogenic land use change,Emon,kg m-2 s-1,
vegHeightGrass,vegHeightGrass,canopy_height,Vegetation height averaged over the grass fraction of a grid cell.,Emon,m,
vegHeightShrub,vegHeightShrub,canopy_height,Vegetation height averaged over the shrub fraction of a grid cell.,Emon,m,
vegHeightCrop,vegHeightCrop,canopy_height,Vegetation height averaged over the crop fraction of a grid cell.,Emon,m,
wtd,wtd,water_table_depth,Water table depth from surface.,Emon,m,
nLeaf,nLeaf,leaf_mass_content_of_nitrogen,Nitrogen Mass in Leaves,Emon,kg m-2,
nStem,nStem,stem_mass_content_of_nitrogen,Nitrogen Mass in Stem,Emon,kg m-2,
nRoot,nRoot,root_mass_content_of_nitrogen,Nitrogen Mass in Roots,Emon,kg m-2,
nOther,nOther,miscellaneous_living_matter_mass_content_of_nitrogen,"Nitrogen mass in vegetation components other than leaves, stem and root",Emon,kg m-2,
nLitterCwd,nLitterCwd,wood_debris_mass_content_of_nitrogen,Nitrogen Mass in Coarse Woody Debris,Emon,kg m-2,
nMineralNH4,nMineralNH4,soil_mass_content_of_inorganic_ammonium_expressed_as_nitrogen,Mineral ammonium in the soil,Emon,kg m-2,
nMineralNO3,nMineralNO3,soil_mass_content_of_inorganic_nitrate_expressed_as_nitrogen,Mineral nitrate in the soil,Emon,kg m-2,
wetlandCH4prod,wetlandCH4prod,surface_upward_mass_flux_of_methane_due_to_emission_from_wetland_biological_production,Grid averaged methane production (methanogenesis) from wetlands,Emon,kg m-2 s-1,
wetlandCH4cons,wetlandCH4cons,surface_downward_mass_flux_of_methane_due_to_wetland_biological_consumption,Grid averaged methane consuption (methanotrophy) from wetlands,Emon,kg m-2 s-1,
fNleach,fNleach,mass_flux_of_carbon_out_of_soil_due_to_leaching_and_runoff,"Total N loss to leaching or runoff (sum of ammonium, nitrite and nitrate)",Emon,kg m-2 s-1,
fNgas,fNgas,surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen,"Total Nitrogen lost to the atmosphere (sum of NHx, NOx, N2O, N2)",Emon,kg m-2 s-1,
fNgasNonFire,fNgasNonFire,surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_due_to_all_land_processes_excluding_fires,"Total N lost to the atmosphere (including NHx, NOx, N2O, N2) from all processes except fire.",Emon,kg m-2 s-1,
fNgasFire,fNgasFire,surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_due_to_emission_from_fires,"Total N lost to the atmosphere (including NHx, NOx, N2O, N2) from fire.",Emon,kg m-2 s-1,
fNOx,fNOx,surface_upward_mass_flux_of_nox_expressed_as_nitrogen_out_of_vegetation_and_litter_and_soil,Total land NOx flux,Emon,kg m-2 s-1,
tntrlcs,tntrlcs,tendency_of_air_temperature_due_to_longwave_heating_assuming_clear_sky,Tendency of Air Temperature due to Clear Sky Longwave Radiative Heating,Emon,K s-1,
tntrscs,tntrscs,tendency_of_air_temperature_due_to_shortwave_heating_assuming_clear_sky,Tendency of Air Temperature due to Clear Sky Shortwave Radiative Heating,Emon,K s-1,
tntd,tntd,tendency_of_air_temperature_due_to_diffusion,Tendency of Air Temperature due to Numerical Diffusion,Emon,K s-1,
tntpbl,tntpbl,tendency_of_air_temperature_due_to_boundary_layer_mixing,Tendency of Air Temperature Due to Boundary Layer Mixing,Emon,K s-1,
tntscp,tntscp,tendency_of_air_temperature_due_to_stratiform_cloud_and_precipitation,Tendency of Air Temperature Due to Stratiform Clouds and Precipitation,Emon,K s-1,
tnhuspbl,tnhuspbl,tendency_of_specific_humidity_due_to_boundary_layer_mixing,Tendency of Specific Humidity Due to Boundary Layer Mixing,Emon,s-1,
tnhusscp,tnhusscp,tendency_of_specific_humidity_due_to_stratiform_cloud_and_precipitation,Tendency of Specific Humidity Due to Stratiform Clouds and Precipitation,Emon,s-1,
reffclws,reffclws,effective_radius_of_stratiform_cloud_liquid_water_particle,Hydrometeor Effective Radius of Stratiform Cloud Liquid Water,Emon,m,
reffclis,reffclis,effective_radius_of_stratiform_cloud_ice_particle,Hydrometeor Effective Radius of Stratiform Cloud Ice,Emon,m,
reffclwc,reffclwc,effective_radius_of_convective_cloud_liquid_water_particle,Hydrometeor Effective Radius of Convective Cloud Liquid Water,Emon,m,
reffclic,reffclic,effective_radius_of_convective_cloud_ice_particle,Hydrometeor Effective Radius of Convective Cloud Ice,Emon,m,
tntrl,tntrl,tendency_of_air_temperature_due_to_longwave_heating,Longwave heating rate,Esubhr,K s-1,
tntrs,tntrs,tendency_of_air_temperature_due_to_shortwave_heating,Shortwave heating rate,Esubhr,K s-1,
tntrlcs,tntrlcs,tendency_of_air_temperature_due_to_longwave_heating_assuming_clear_sky,Tendency of Air Temperature due to Clear Sky Longwave Radiative Heating,Esubhr,K s-1,
tntrscs,tntrscs,tendency_of_air_temperature_due_to_shortwave_heating_assuming_clear_sky,Tendency of Air Temperature due to Clear Sky Shortwave Radiative Heating,Esubhr,K s-1,
tntd,tntd,tendency_of_air_temperature_due_to_diffusion,Tendency of Air Temperature due to Numerical Diffusion,Esubhr,K s-1,
tntpbl,tntpbl,tendency_of_air_temperature_due_to_boundary_layer_mixing,Tendency of Air Temperature Due to Boundary Layer Mixing,Esubhr,K s-1,
tntscp,tntscp,tendency_of_air_temperature_due_to_stratiform_cloud_and_precipitation,Tendency of Air Temperature Due to Stratiform Clouds and Precipitation,Esubhr,K s-1,
tnhuspbl,tnhuspbl,tendency_of_specific_humidity_due_to_boundary_layer_mixing,Tendency of Specific Humidity Due to Boundary Layer Mixing,Esubhr,s-1,
tnhusscp,tnhusscp,tendency_of_specific_humidity_due_to_stratiform_cloud_and_precipitation,Tendency of Specific Humidity Due to Stratiform Clouds and Precipitation,Esubhr,s-1,
reffclws,reffclws,effective_radius_of_stratiform_cloud_liquid_water_particle,Hydrometeor Effective Radius of Stratiform Cloud Liquid Water,Esubhr,m,
reffclis,reffclis,effective_radius_of_stratiform_cloud_ice_particle,Hydrometeor Effective Radius of Stratiform Cloud Ice,Esubhr,m,
reffclwc,reffclwc,effective_radius_of_convective_cloud_liquid_water_particle,Hydrometeor Effective Radius of Convective Cloud Liquid Water,Esubhr,m,
reffclic,reffclic,effective_radius_of_convective_cloud_ice_particle,Hydrometeor Effective Radius of Convective Cloud Ice,Esubhr,m,
clwvic,clwvic,atmosphere_mass_content_of_convective_cloud_condensed_water,Convective Condensed Water Path,Eday,kg m-2,
clivic,clivic,atmosphere_mass_content_of_convective_cloud_ice,Convective Ice Water Path,Eday,kg m-2,
cfadDbze94,cfadDbze94,histogram_of_equivalent_reflectivity_factor_over_height_above_reference_ellipsoid,CloudSat Radar Reflectivity,Emon,1,
cfadLidarsr532,cfadLidarsr532,histogram_of_backscattering_ratio_over_height_above_reference_ellipsoid,CALIPSO Scattering Ratio,Emon,1,
clmisr,clmisr,cloud_area_fraction_in_atmosphere_layer,Percentage Cloud Cover as Calculated by the MISR Simulator,Emon,%,
parasolRefl,parasolRefl,toa_bidirectional_reflectance,PARASOL Reflectance,Emon,1,
jpdftaureliqmodis,jpdftaureliqmodis,cloud_area_fraction_in_atmosphere_layer,"MODIS Optical Thickness-Particle Size joint  distribution, liquid",Emon,%,
jpdftaureicemodis,jpdftaureicemodis,cloud_area_fraction_in_atmosphere_layer,"MODIS Optical Thickness-Particle Size joint  distribution, ice",Emon,%,
clwmodis,clwmodis,liquid_water_cloud_area_fraction,MODIS Liquid Cloud Fraction,Emon,%,
climodis,climodis,ice_cloud_area_fraction,MODIS Ice Cloud Area Percentage,Emon,%,
cltmodis,cltmodis,cloud_area_fraction,MODIS Total Cloud Cover Percentage,Emon,%,
clcalipsoliq,clcalipsoliq,liquid_water_cloud_area_fraction_in_atmosphere_layer,CALIPSO liquid cloud Fraction,Emon,%,
parasolRefl,parasolRefl,toa_bidirectional_reflectance,PARASOL Reflectance,Eday,1,
jpdftaureliqmodis,jpdftaureliqmodis,cloud_area_fraction_in_atmosphere_layer,"MODIS Optical Thickness-Particle Size joint  distribution, liquid",Eday,%,
jpdftaureicemodis,jpdftaureicemodis,cloud_area_fraction_in_atmosphere_layer,"MODIS Optical Thickness-Particle Size joint  distribution, ice",Eday,%,
clcalipso,clcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO Cloud Fraction,E3hrPt,%,
cfadDbze94,cfadDbze94,histogram_of_equivalent_reflectivity_factor_over_height_above_reference_ellipsoid,CloudSat Radar Reflectivity,E3hrPt,1,
cfadLidarsr532,cfadLidarsr532,histogram_of_backscattering_ratio_over_height_above_reference_ellipsoid,CALIPSO Scattering Ratio,E3hrPt,1,
parasolRefl,parasolRefl,toa_bidirectional_reflectance,PARASOL Reflectance,E3hrPt,1,
cltcalipso,cltcalipso,cloud_area_fraction,CALIPSO Total Cloud Fraction,E3hrPt,%,
cllcalipso,cllcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO Percentage Low Level Cloud,E3hrPt,%,
clmcalipso,clmcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO Mid Level Cloud Fraction,E3hrPt,%,
clhcalipso,clhcalipso,cloud_area_fraction_in_atmosphere_layer,CALIPSO High Level Cloud Fraction,E3hrPt,%,
loadoa,loadoa,atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles,Load of Dry Aerosol Organic Matter,Eday,kg m-2,
loadpoa,loadpoa,atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_particles,Load of Dry Aerosol Primary Organic Matter,Eday,kg m-2,
loadsoa,loadsoa,atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_particles,Load of Dry Aerosol Secondary Organic Matter,Eday,kg m-2,
loadbc,loadbc,atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles,Load of Black Carbon Aerosol,Eday,kg m-2,
loadso4,loadso4,atmosphere_mass_content_of_sulfate_dry_aerosol_particles,Load of SO4,Eday,kg m-2,
loaddust,loaddust,atmosphere_mass_content_of_dust_dry_aerosol_particles,Load of Dust,Eday,kg m-2,
loadss,loadss,atmosphere_mass_content_of_sea_salt_dry_aerosol_particles,Load of Seasalt,Eday,kg m-2,
loadno3,loadno3,atmosphere_mass_content_of_nitrate_dry_aerosol_particles,Load of NO3,Eday,kg m-2,
loadnh4,loadnh4,atmosphere_mass_content_of_ammonium_dry_aerosol_particles,Load of NH4,Eday,kg m-2,
reffsclwtop,reffsclwtop,effective_radius_of_stratiform_cloud_liquid_water_particle_at_stratiform_liquid_water_cloud_top,Cloud-Top Effective Droplet Radius In Stratiform Cloud,Eday,m,
reffcclwtop,reffcclwtop,effective_radius_of_convective_cloud_liquid_water_particle_at_convective_liquid_water_cloud_top,Cloud-Top Effective Droplet Radius In Convective Cloud,Eday,m,
scldncl,scldncl,number_concentration_of_stratiform_cloud_liquid_water_particle_at_stratiform_liquid_water_cloud_top,Cloud Droplet Number Concentration of Stratiform Cloud Tops,Eday,m-3,
ccldncl,ccldncl,number_concentration_of_convective_cloud_liquid_water_particle_at_convective_liquid_water_cloud_top,Cloud Droplet Number Concentration of Convective Cloud Tops,Eday,m-3,
rsdt,rsdt,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,E1hrClimMon,W m-2,
rsut,rsut,toa_outgoing_shortwave_flux,Top-of-Atmosphere Outgoing Shortwave Radiation,E1hrClimMon,W m-2,
rlut,rlut,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,E1hrClimMon,W m-2,
rsutcs,rsutcs,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,E1hrClimMon,W m-2,
rlutcs,rlutcs,toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-sky Longwave Radiation,E1hrClimMon,W m-2,
jo3,jo3,photolysis_rate_of_ozone,photoloysis rate of O3,EmonZ,s-1,
jo2,jo2,photolysis_rate_of_molecular_oxygen,photoloysis rate of O2,EmonZ,s-1,
oxprod,oxprod,tendency_of_mole_concentration_of_ox_in_air_due_to_chemical_and_photolytic_production,total Ox production rate,EmonZ,mol m-3 s-1,
oxloss,oxloss,tendency_of_mole_concentration_of_ox_in_air_due_to_chemical_destruction,total Ox loss rate,EmonZ,mol m-3 s-1,
vmrox,vmrox,mole_fraction_of_ox_in_air,mole fraction of o and o3 and o1d,EmonZ,mol mol-1,
ta,ta,air_temperature,Air Temperature,EdayZ,K,
ua,ua,eastward_wind,Eastward Wind,EdayZ,m s-1,
va,va,northward_wind,Northward Wind,EdayZ,m s-1,
hus,hus,specific_humidity,Specific Humidity,EdayZ,1,
zg,zg,geopotential_height,Geopotential Height,Eday,m,
ts,ts,surface_temperature,Surface Temperature,Eday,K,
prw,prw,atmosphere_mass_content_of_water_vapor,Water Vapor Path,Eday,kg m-2,
ta850,ta850,air_temperature,Air Temperature,Eday,K,
prhmax,prhmax,precipitation_flux,Maximum Hourly Precipitation Rate,Emon,kg m-2 s-1,
zg1000,zg1000,geopotential_height,Geopotential Height at 1000 hPa,6hrPlev,m,
rv850,rv850,atmosphere_relative_vorticity,Relative Vorticity at 850 hPa,6hrPlev,s-1,
rls,rls,surface_net_downward_longwave_flux,Net Longwave Surface Radiation,Emon,W m-2,
t20d,t20d,depth_of_isosurface_of_sea_water_potential_temperature,20C isotherm depth,Emon,m,
thetaot300,thetaot300,sea_water_potential_temperature,Depth average potential temperature of upper 300m,Emon,degC,
thetaot700,thetaot700,sea_water_potential_temperature,Depth average potential temperature of upper 700m,Emon,degC,
thetaot2000,thetaot2000,sea_water_potential_temperature,Depth average potential temperature of upper 2000m,Emon,degC,
co2s,co2s,mole_fraction_of_carbon_dioxide_in_air,Atmosphere CO2,Emon,1e-06,
tdps,tdps,dew_point_temperature,2m dewpoint temperature,Eday,K,
t20d,t20d,depth_of_isosurface_of_sea_water_potential_temperature,20C isotherm depth,Eday,m,
tntogw,tntogw,tendency_of_air_temperature_due_to_dissipation_of_orographic_gravity_waves,temperature tendency orographic gravity wave dissipation,EmonZ,K s-1,
tntnogw,tntnogw,tendency_of_air_temperature_due_to_dissipation_of_nonorographic_gravity_waves,temperature tendency nonorographic gravity wave dissipation,EmonZ,K s-1,
epfz,epfz,upward_eliassen_palm_flux_in_air,Upward Component of the Eliassen-Palm Flux,EmonZ,m3 s-2,
vtendogw,vtendogw,tendency_of_northward_wind_due_to_orographic_gravity_wave_drag,v-tendency orographic gravity wave drag,Emon,m s-2,
vtendnogw,vtendnogw,tendency_of_northward_wind_due_to_nonorographic_gravity_wave_drag,v-tendency nonorographic gravity wave drag,Emon,m s-2,
vtem,vtem,northward_transformed_eulerian_mean_air_velocity,Transformed Eulerian Mean northward wind,EdayZ,m s-1,
wtem,wtem,upward_transformed_eulerian_mean_air_velocity,Transformed Eulerian Mean upward wind,EdayZ,m s-1,
epfy,epfy,northward_eliassen_palm_flux_in_air,Northward Component of the Eliassen-Palm Flux,EdayZ,m3 s-2,
epfz,epfz,upward_eliassen_palm_flux_in_air,Upward Component of the Eliassen-Palm Flux,EdayZ,m3 s-2,
utendepfd,utendepfd,tendency_of_eastward_wind_due_to_eliassen_palm_flux_divergence,Tendency of eastward wind due to Eliassen-Palm Flux divergence,EdayZ,m s-2,
utendogw,utendogw,tendency_of_eastward_wind_due_to_orographic_gravity_wave_drag,u-tendency orographic gravity wave drag,EdayZ,m s-2,
utendnogw,utendnogw,tendency_of_eastward_wind_due_to_nonorographic_gravity_wave_drag,u-tendency nonorographic gravity wave drag,EdayZ,m s-2,
psitem,psitem,atmosphere_transformed_eulerian_mean_meridional_overturning_mass_streamfunction,Transformed Eulerian Mean mass stramfunction,EdayZ,kg s-1,
utendvtem,utendvtem,tendency_of_eastward_wind_due_to_advection_by_northward_transformed_eulerian_mean_air_velocity,Tendency of eastward wind due to TEM northward advection and Coriolis term,EdayZ,m s-1 d-1,
utendwtem,utendwtem,tendency_of_eastward_wind_due_to_advection_by_upward_transformed_eulerian_mean_air_velocity,Tendency of eastward wind due to TEM upward advection,EdayZ,m s-1 d-1,
tauupbl,tauupbl,surface_downward_eastward_stress_due_to_boundary_layer_mixing,eastward surface stress from planetary boundary layer scheme,Eday,Pa,
